"n_distributor_id","dist_name","item_code","item_name","category_abc","category_fms","volume","pack","last_sale_date","last_purchase_date","last_stock_adjustment_date","last_sale_return_date","last_customer_breakage_expiry_date","last_godown_breakage_expiry_date","sale_amt","purchase_amt","stock_adjustment_amt","sale_return_amt","customer_breakage_expiry_amt","godown_breakage_expiry_amt","sale_qty","purchase_qty","stock_adjustment_qty","sale_return_qty","customer_breakage_expiry_qty","godown_breakage_expiry_qty","line_cut_customer_count","line_cut_challan_count","line_cut_no_of_days","line_cut_total_qty"
2,Simba,22165,FAIR C 1000 20TAB,C,M,212.1,BOTTLE,2023-04-20,2023-03-24,,2023-04-20,,,27215.76,42590.00,,683.84,,,123.000,200.000,,3.000,,,1,1,1,0.0
2,Simba,22391,DALSTEP 10TAB,C,M,369.117,STRIP,2023-04-13,2023-03-23,,2023-04-10,,,42203.94,34791.48,,306.03,,,143.000,120.000,,1.000,,,,,,
2,Simba,23474,TETAN AM 15TAB,C,M,35.9,STRIP,2023-04-20,2023-04-13,2023-03-21,,,,12178.53,12193.60,0.00,,,,77.000,80.000,4.000,,,,,,,
2,Simba,25148,MULTIZEN 10CAP,C,M,0.0,NaN,2023-04-20,2023-03-28,,2023-04-03,,,33356.83,0.00,,577.71,,,189.000,51.000,,3.000,,,3,3,3,7.0
2,Simba,26447,DIOVOL LA EXOTIC ORANGE SF SUSPENSION 200 ML,D,S,415.8,BOTTLE,2023-04-18,,,,,,887.59,,,,,,9.000,,,,,,,,,
2,Simba,27017,LAREGAB 300 CAPSULE 10 NOS,C,M,83.3,STRIP,2023-04-19,2023-04-10,2023-04-18,,,,11230.94,14734.80,0.00,,,,88.000,120.000,2.000,,,2.000,4,4,3,4.0
2,Simba,27045,LEVIGRESS 5ML INJECTION,D,N,,,,,2023-04-12,,,,,,-155.26,,,,,,2.000,,,,1,1,1,2.0
2,Simba,27327,ACHIDRIVE D3 10TAB,C,M,0.0,NaN,2023-04-20,2023-04-20,,2023-04-18,,,7085.33,9152.00,,296.39,,,155.000,220.000,,6.000,,,2,2,2,5.0
2,Simba,27423,HALONEXT 30GM CREAM,D,S,120.1,TUBE,2023-04-09,2023-03-28,2023-04-09,2023-04-17,,,735.60,1658.52,128.57,145.89,,,5.000,12.000,5.000,1.000,,1.000,,,,
2,Simba,27641,DONIBIZ 5MG 10TAB,D,S,67.0,STRIP,,,,,,,,,,,,,,,,,,2.000,,,,
2,Simba,27651,ROSULIP CV 10 CAPSULE 10 NOS,D,M,61.3,STRIP,2023-04-20,2023-04-19,,,,,4542.69,9583.20,,,,,36.000,80.000,,,,,,,,
2,Simba,27886,LIGASHOT 10TAB,B,M,176.4,STRIP,2023-04-19,,,2023-04-17,,,19411.22,,,5749.55,,,88.000,,,26.000,,,,,,
2,Simba,28107,MYNICAP 4CAP,D,S,0.0,NaN,2023-04-06,,,,,,610.73,,,,,,9.000,,,,,,,,,
2,Simba,28252,PEG SR 75MG 10TAB,D,S,10.5,STRIP,2023-04-15,2023-04-12,,,,,1065.55,1128.20,,,,,9.000,10.000,,,,,1,1,1,0.0
2,Simba,28701,STATPURE GOLD 20 MG CAPSULE 10 NO`S,D,S,92.5,STRIP,,,2023-04-15,,,,,,579.50,,,,,,5.000,,,5.000,,,,
2,Simba,29032,LEVOCETRIZEN 10 10TAB LEVOCETIRIZINE(10MG),D,S,15.7,STRIP,2023-04-15,2023-03-24,,,,,487.20,360.00,,,,,71.000,60.000,,,,,,,,
2,Simba,29761,BQ 10 CAPSULE (NEW GST),C,M,67.0,STRIP,2023-04-20,2023-04-02,2023-04-08,,,,10389.87,9884.70,0.00,,,,30.000,30.000,8.000,,,,,,,
2,Simba,29887,GRADUATE CHOCOLATE POWDER 200 GM,C,M,1013.7,TIN,2023-04-20,2023-04-11,2023-04-10,2023-04-15,,,9380.51,13356.04,-861.68,227.39,,,41.000,62.000,8.000,1.000,,,3,3,2,3.0
2,Simba,29907,IMMOBILIZER LONG XL KNEE BRACE LIVEASY OSG,D,S,3097.737,BOX,2023-04-05,,,2023-04-14,,,2854.30,,,1141.72,,,5.000,,,2.000,,,,,,
2,Simba,30489,DUREX EXTRA RIBBED 10CONDOMS,C,M,291.4,PACKET,2023-04-20,2023-04-04,2023-03-21,2023-03-30,,,6737.28,7979.98,1625.58,816.64,,,38.000,54.000,11.000,5.000,,,2,2,2,10.0
2,Simba,30623,EBUXO 40MG 10TAB,D,S,10.5,STRIP,2023-04-19,2023-04-03,,,,,560.60,872.90,,,,,6.000,10.000,,,,,,,,
2,Simba,31732,KIMET - XL 12.50 TABLETS,D,S,20.5,STRIP,2023-04-10,,,,,,995.95,,,,,,16.000,,,,,,,,,
2,Simba,31935,HAIR  4 U 2% LOTION,C,M,560.3,BOTTLE,2023-04-19,,2023-03-22,,,,2915.69,,0.00,,,,13.000,,2.000,,,,,,,
2,Simba,32095,TOLVASCA TAB 15MG,D,S,58.6,STRIP,2023-04-20,2023-03-29,,,,,6131.63,4840.70,,,,,12.000,10.000,,,,,1,1,1,-8.0
2,Simba,32106,TACROZ FORT OINT.1%,B,F,60.2,TUBE,2023-04-20,,2023-04-20,2023-04-16,,,38622.74,,0.00,1080.00,,,108.000,,2.000,3.000,,,,,,
2,Simba,32560,CADIPHYLATE ELIXIR 200 ML,D,M,399.2,BOTTLE,2023-04-20,2023-04-07,2023-04-16,,,,2671.90,3395.00,0.00,,,,52.000,70.000,8.000,,,,1,1,1,1.0
2,Simba,32915,GENTICYN INJECTION 2 ML,D,M,25.1,AMPOULE,2023-04-20,2023-04-17,2023-03-21,2023-04-17,,,1179.79,808.00,0.00,13.68,,,225.000,160.000,4.000,3.000,,,1,1,1,1.0
2,Simba,32966,HAPPICID SUSPENSION 120 ML,D,S,234.7,BOTTLE,2023-04-09,,,2023-04-10,,,468.89,,,93.19,,,5.000,,,1.000,,,,,,
2,Simba,33699,VOLGA R 0.2MG/0.5MG TABLET 10 NO`S,D,S,29.4,STRIP,2023-04-19,2023-04-14,2023-04-07,2023-04-15,,,1915.89,1382.20,-207.33,142.06,,,27.000,20.000,9.000,2.000,,3.000,1,1,1,3.0
2,Simba,33737,ROSUCIA F TABLET 10 NO`S,D,S,32.6,STRIP,2023-04-14,2023-04-09,,2023-04-17,,,4045.30,2570.85,,1239.75,,,30.000,20.000,,9.000,,1.000,,,,
2,Simba,33750,ENDOCAL D TABLET 10 NO`S,D,S,,,,,2023-04-14,,,,,,170.51,,,,,,3.000,,,4.000,4,4,2,3.0
2,Simba,34588,RESPICURE M TABLET 10 NOS,D,S,21.1,STRIP,2023-04-16,2023-03-25,,,,,226.05,713.90,,,,,3.000,11.000,,,,,,,,
2,Simba,34796,TONENGLO FACE WASH 100 G,B,F,207.9,TUBE,2023-04-20,2023-03-31,,,,,22401.56,20623.19,,,,,110.000,120.000,,,,,3,3,3,2.0
2,Simba,34800,TOPAZ 50 TABLET 15 NOS,C,M,13.6,STRIP,2023-04-19,2023-03-31,2023-03-28,,,,19799.85,53756.50,0.00,,,,157.000,450.000,4.000,,,,,,,
2,Simba,34826,TRANCODOL DT 5 TABLET 10 NOS,D,S,10.8,STRIP,2023-04-19,2023-03-31,2023-04-04,2023-04-18,,,1824.36,2290.00,0.00,246.77,,,75.000,100.000,4.000,10.000,,,1,1,1,3.0
2,Simba,34902,MELTOLAN 5MG 10TAB,D,S,,,2023-03-30,,2023-04-15,,,,116.02,,33.43,,,,3.000,,1.000,,,1.000,,,,
2,Simba,35282,DOTAFLAM MR 4MG TABLET 10 NO`S,C,M,67.0,STRIP,2023-04-20,2023-03-27,,,,,2869.94,10221.00,,,,,26.000,100.000,,,,,,,,
2,Simba,35332,FUSIWAL OINT 5GM,D,M,34.2,TUBE,2023-04-20,2023-04-01,2023-03-25,,,,1799.39,1832.10,0.00,,,,28.000,30.000,12.000,,,,1,1,1,1.0
2,Simba,35728,SINGULAIR 10MG TAB 28 NOS,D,S,190.7,BOTTLE,,,2023-04-11,,,,,,0.00,,,,,,2.000,,,,,,,
2,Simba,35789,"8 X CREAM 30 GM",D,S,106.4,TUBE,2023-04-16,,,,,,725.71,,,,,,5.000,,,,,,,,,
2,Simba,35948,ZIPCET TABLET 10 NOS,D,S,7.6,STRIP,2023-04-18,2023-03-31,2023-03-30,,,,411.66,1034.00,0.00,,,,23.000,60.000,2.000,,,1.000,2,2,2,1.0
2,Simba,35980,ZORYL 1 TABLET 15 NOS,C,F,12.1,STRIP,2023-04-20,2023-03-31,,,2023-03-25,2023-03-25,9708.49,9266.40,,,35.32,35.32,258.000,260.000,,,1.000,1.000,1,1,1,2.0
2,Simba,36007,ZOXAN EYE OINTMENT 10 G,D,F,53.5,TUBE,2023-04-20,2023-04-19,2023-04-04,,,,1754.58,2172.13,151.47,,,,185.000,260.000,19.000,,,1.000,1,2,2,-1.0
2,Simba,36017,ZY Q 300 TABLET 30 NOS,D,S,85.2,STRIP,2023-04-14,2023-04-07,,,,,4044.97,2975.85,,,,,12.000,10.000,,,,,,,,
2,Simba,36346,BUDEZ OD 9 MG TABLET 15 NOS,D,S,186.28896,STRIP,2023-04-10,,,2023-03-22,,,1515.80,,,1038.80,,,3.000,,,2.000,,,,,,
2,Simba,36615,VITCOFOL C INJECTION 1.5 ML,C,F,0.0,NaN,2023-04-20,,2023-04-20,2023-04-13,2023-03-30,2023-03-30,12275.37,,0.00,273.28,248.91,248.91,1035.000,,518.000,23.000,24.000,3.000,9,9,8,24.0
2,Simba,37083,IRONEMIC TABLET 10 NO`S,A,F,35.3,STRIP,2023-04-20,2023-04-10,2023-04-06,2023-04-15,,,147064.01,164908.80,0.00,1387.32,,,537.000,630.000,20.000,5.000,,1.000,5,5,5,-28.0
2,Simba,37629,CITAL UTI SUSPENSION 100 ML,A,F,208.7,BOTTLE,2023-04-20,2023-04-19,2023-04-20,2023-04-12,,,92550.60,101077.43,0.00,2882.53,,,761.000,925.000,90.000,24.000,,2.000,4,4,4,5.0
2,Simba,37651,CYCLOPAM DROPS 10 ML,D,F,126.2,BOTTLE,2023-04-20,2023-03-22,2023-04-13,2023-04-12,,,7549.23,8424.78,0.00,928.36,,,238.000,300.000,16.000,32.000,,1.000,2,2,2,-10.0
2,Simba,37929,UTWELL PRO CHERRY SUGAR FREE POWDER 2 GM,D,S,7.6,SACHET,2023-04-12,,,,,,3594.41,,,,,,140.000,,,,,,,,,
2,Simba,38006,ALKAMAX MB6 SYRUP 200 ML,D,S,516.7,BOTTLE,2023-04-15,,,,,,3385.72,,,,,,28.000,,,,,,1,1,1,0.0
2,Simba,39134,OCCUCOM EYE DROPS 10 ML,D,M,71.5,BOTTLE,2023-04-20,2023-04-20,2023-03-27,2023-03-22,,,3499.42,7168.00,0.00,78.05,,,46.000,100.000,2.000,1.000,,,1,1,1,1.0
2,Simba,39573,LUPIHALER INHALER 1 NOS,C,M,132.2,BOX,2023-04-20,2023-03-30,,,,,12843.86,11425.92,,,,,70.000,66.000,,,,,1,1,1,0.0
2,Simba,39904,SUGAR SUBSTITUTE 10TAB LIVEASY WELLNESS,D,S,31.2,STRIP,,,2023-04-14,,,,,,0.00,,,,,,94.000,,,94.000,,,,
2,Simba,39937,DAPAEASE TABLET 10 NOS,D,S,18.9,STRIP,2023-04-07,,2023-04-19,,,,99.43,,-93.21,,,,1.000,,3.000,,,1.000,1,1,1,2.0
2,Simba,40004,PEGMAC M SR 75 TABLET 10 NOS,C,M,67.0,STRIP,2023-04-19,2023-04-04,,2023-04-05,,,5444.92,11571.00,,246.85,,,44.000,100.000,,2.000,,,,,,
2,Simba,40064,ONETOUCH SELECT PLUS 50STRIPS,A,F,94.6,BOX,2023-04-20,2023-04-19,2023-04-19,2023-04-17,,,287334.50,277185.00,0.00,8874.00,,,343.000,340.000,22.000,10.000,,,2,3,3,-2.0
2,Simba,50309,MAMAEARTH COCO BODY WASH 300 ML,D,S,567.7,BOTTLE,2023-04-16,,,,,,424.46,,,,,,2.000,,,,,,,,,
2,Simba,51613,GLYCOSTAR M 1 TABLET 15 NOS,C,M,37.2,STRIP,2023-04-20,2023-04-18,2023-04-07,2023-04-20,,,14812.62,16554.16,0.00,735.72,,,178.000,220.000,6.000,9.000,,1.000,2,2,2,-40.0
2,Simba,52404,LORHINE 10MG 10TAB LORATIDINE(10MG),D,S,8.4,STRIP,2023-04-14,2023-04-09,,,,,168.50,360.00,,,,,17.000,60.000,,,,,,,,
2,Simba,52529,NEED L 3000 SHOTS LIQUID 15 ML,D,S,0.0,NaN,2023-04-10,2023-03-24,,2023-03-24,,,2219.69,1372.80,,249.12,,,45.000,30.000,,5.000,,,1,2,2,10.0
2,Simba,52954,XSULIN R INJECTION 3 ML,C,M,0.0,NaN,2023-04-17,2023-04-05,2023-03-29,2023-04-10,,,16814.40,45632.00,-2737.92,1413.60,,,15.000,40.000,4.000,2.000,,,4,5,5,2.0
2,Simba,53098,LACTODEX LBW PLUS POWDER 400 GM,D,S,0.0,NaN,,,,2023-04-11,,,,,,494.16,,,,,,1.000,,,,,,
2,Simba,54199,MIS D SUN 50 SPF PA +++ TINTED SUNSCREEN 50 GM,D,S,0.0,NaN,2023-04-18,2023-03-28,,2023-03-22,,,6255.33,10372.80,,650.20,,,11.000,20.000,,1.000,,,,,,
2,Simba,54281,ABIWAYS TABLET 15 NOS,C,M,137.2,STRIP,2023-04-18,2023-04-17,2023-04-10,2023-04-17,,,12950.31,1546.90,0.00,2144.54,,,78.000,10.000,16.000,13.000,,,1,1,1,2.0
2,Simba,54784,CALCURY SYRUP 200 ML,D,S,0.0,NaN,2023-04-14,,,,,,1629.01,,,,,,12.000,,,,,,,,,
2,Simba,54887,TRUECYCLO 250MG INJ 10ML ACYCLOVIR SODIUM(250MG),D,S,187.0,DRY VIAL,,2023-04-16,,,,,,650.00,,,,,,50.000,,,,,,,,
2,Simba,54982,NULET 1.25 TABLET 15 NOS,D,S,22.2,STRIP,2023-04-19,2023-04-20,,2023-04-13,,,2054.27,2730.60,,98.09,,,42.000,60.000,,2.000,,,,,,
2,Simba,55073,SITACOSE M 1000 TABLET 10 NOS,D,S,67.0,STRIP,2023-04-17,,,,,,289.03,,,,,,3.000,,,,,,,,,
2,Simba,55115,NUSOWIN ADULT CHOCOLATE POWDER 200 GM,D,S,748.9,JAR,2023-04-03,,2023-04-03,,,,882.85,,0.00,,,,4.000,,6.000,,,,1,1,1,1.0
2,Simba,55200,STATIONERY STAPLER PIN BIG SIZE,D,N,,,,,2023-04-11,,,,,,0.22,,,,,,22.000,,,,,,,
2,Simba,55667,TURBOVAS EZ 10 TABLET 10 NOS,D,S,0.0,NaN,2023-04-19,,,,,,1103.12,,,,,,9.000,,,,,,,,,
2,Simba,56323,T LOW 250 MG SUSPENION 60 ML,D,S,0.0,NaN,2023-04-14,2023-04-08,,,,,2467.96,1425.50,,,,,90.000,55.000,,,,,1,1,1,1.0
2,Simba,56328,MSN SITA D 5/50 TABLET 10 NOS,D,S,0.0,NaN,,,,,,,,,,,,,,,,,,1.000,,,,
2,Simba,56785,MYCOCLEAR SB 130 CAPSULE 10 NOS,D,S,0.0,NaN,2023-04-20,,,2023-03-29,,,5117.78,,,855.35,,,42.000,,,7.000,,,,,,
2,Simba,57101,STAMLO PLUS 5 TABLET 10 NOS,D,S,0.0,NaN,2023-04-20,2023-04-17,,2023-04-19,,,1536.93,964.20,,308.56,,,30.000,20.000,,6.000,,1.000,,,,
